frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
457;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=813725 TSecr=813725
458;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
459;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=813725 TSecr=813725
460;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
461;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=813725 TSecr=813725
462;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
463;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=813725 TSecr=813725
464;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
465;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=813725 TSecr=813725
466;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
467;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=38027 Win=465536 Len=0 TSval=813725 TSecr=813725
468;;127.0.0.1;;127.0.0.1;TCP;8080 → 45690 [FIN, ACK] Seq=38027 Ack=198 Win=44800 Len=0 TSval=813725 TSecr=813725
469;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [FIN, ACK] Seq=198 Ack=38028 Win=465536 Len=0 TSval=813726 TSecr=813725
470;;127.0.0.1;;127.0.0.1;TCP;8080 → 45690 [ACK] Seq=38028 Ack=199 Win=44800 Len=0 TSval=813726 TSecr=813726
471;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [ACK] Seq=1260 Ack=1088 Win=45952 Len=0 TSval=813730 TSecr=813720
472;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [PSH, ACK] Seq=1088 Ack=1260 Win=45952 Len=1963 TSval=813730 TSecr=813730
473;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [ACK] Seq=1260 Ack=3051 Win=176896 Len=0 TSval=813730 TSecr=813730
474;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813755 TSecr=0 WS=128
475;;127.0.0.1;;127.0.0.1;TCP;8080 → 45692 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813755 TSecr=813755 WS=128
476;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=813755 TSecr=813755
477;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00003_20170304180058.csv HTTP/1.1 
478;;127.0.0.1;;127.0.0.1;TCP;8080 → 45692 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=813755 TSecr=813755
479;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
480;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=813755 TSecr=813755
481;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
482;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=813755 TSecr=813755
483;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
484;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=813755 TSecr=813755
485;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
486;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=813755 TSecr=813755
487;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
488;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=813755 TSecr=813755
489;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
490;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=813755 TSecr=813755
491;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
492;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=813755 TSecr=813755
493;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
494;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=813755 TSecr=813755
495;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
496;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=813755 TSecr=813755
497;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
498;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=813755 TSecr=813755
499;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
500;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=813755 TSecr=813755
501;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
502;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [ACK] Seq=198 Ack=38027 Win=465536 Len=0 TSval=813755 TSecr=813755
503;;127.0.0.1;;127.0.0.1;TCP;8080 → 45692 [FIN, ACK] Seq=38027 Ack=198 Win=44800 Len=0 TSval=813755 TSecr=813755
504;;127.0.0.1;;127.0.0.1;TCP;45692 → 8080 [FIN, ACK] Seq=198 Ack=38028 Win=465536 Len=0 TSval=813755 TSecr=813755
505;;127.0.0.1;;127.0.0.1;TCP;8080 → 45692 [ACK] Seq=38028 Ack=199 Win=44800 Len=0 TSval=813755 TSecr=813755
506;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813795 TSecr=0 WS=128
507;;127.0.0.1;;127.0.0.1;TCP;8080 → 45694 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813795 TSecr=813795 WS=128
508;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=813795 TSecr=813795
509;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00003_20170304180058.csv HTTP/1.1 
510;;127.0.0.1;;127.0.0.1;TCP;8080 → 45694 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=813795 TSecr=813795
511;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
512;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=813795 TSecr=813795
513;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
514;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=813795 TSecr=813795
515;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
516;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=813795 TSecr=813795
517;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
518;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=813795 TSecr=813795
519;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
520;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=813795 TSecr=813795
521;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
522;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=813795 TSecr=813795
523;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
524;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=813795 TSecr=813795
525;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
526;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=813795 TSecr=813795
527;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
528;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=813795 TSecr=813795
529;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
